player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4707481,M. Imariagbe,28,3,4,0,0,3,4,3,3,6,1,0,0,2,5,9,Houston Christian,Texas A&M-Corpus Christi,TRUE,TRUE,2024-02-26,H
5176563,J. Alvarez,30,7,12,0,1,2,2,3,3,6,1,0,0,6,2,16,Houston Christian,Texas A&M-Corpus Christi,TRUE,TRUE,2024-02-26,H
4897576,B. Maring,21,3,5,0,0,2,3,2,3,5,2,0,1,1,2,8,Houston Christian,Texas A&M-Corpus Christi,TRUE,TRUE,2024-02-26,H
5106783,D. Capriotti,19,1,5,1,4,0,0,0,1,1,0,0,0,1,3,3,Houston Christian,Texas A&M-Corpus Christi,TRUE,TRUE,2024-02-26,H
4897953,M. Greene,32,9,17,6,10,6,9,1,1,2,4,3,0,1,3,30,Houston Christian,Texas A&M-Corpus Christi,TRUE,TRUE,2024-02-26,H
5176564,Po. Bazil,10,0,4,0,0,0,0,0,1,1,0,0,1,0,2,0,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
5107310,N. Hudson,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
5107309,C. Achara,12,1,3,0,0,1,2,1,0,1,0,0,1,0,5,3,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
4897352,T. Moore,25,1,5,1,5,1,2,0,0,0,1,0,0,1,0,4,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
5107306,Pi. Bazil,20,2,3,0,1,2,4,1,1,2,0,0,0,0,1,6,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
NA,TEAM,NA,27,58,8,21,17,26,11,14,25,9,4,3,13,23,79,Houston Christian,Texas A&M-Corpus Christi,TRUE,FALSE,2024-02-26,H
