player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4707481,M. Imariagbe,17,2,6,0,0,2,2,1,1,2,0,1,2,1,0,6,Houston Christian,Northwestern State,TRUE,TRUE,2024-02-24,H
5176563,J. Alvarez,35,4,11,0,1,6,9,1,4,5,0,0,1,2,1,14,Houston Christian,Northwestern State,TRUE,TRUE,2024-02-24,H
4897576,B. Maring,36,4,6,0,0,0,0,2,5,7,4,3,0,5,3,8,Houston Christian,Northwestern State,TRUE,TRUE,2024-02-24,H
5106783,D. Capriotti,33,4,10,3,8,2,2,0,3,3,1,0,0,3,0,13,Houston Christian,Northwestern State,TRUE,TRUE,2024-02-24,H
4897953,M. Greene,29,4,12,3,7,8,10,1,3,4,3,1,1,2,2,19,Houston Christian,Northwestern State,TRUE,TRUE,2024-02-24,H
5176564,Po. Bazil,9,1,2,0,0,0,0,1,0,1,0,0,0,0,0,2,Houston Christian,Northwestern State,TRUE,FALSE,2024-02-24,H
5107310,N. Hudson,4,1,1,0,0,0,0,1,0,1,0,0,1,0,2,2,Houston Christian,Northwestern State,TRUE,FALSE,2024-02-24,H
4897352,T. Moore,20,2,5,2,5,1,1,0,1,1,0,1,0,2,2,7,Houston Christian,Northwestern State,TRUE,FALSE,2024-02-24,H
5107306,Pi. Bazil,17,0,0,0,0,2,2,0,1,1,2,1,0,2,0,2,Houston Christian,Northwestern State,TRUE,FALSE,2024-02-24,H
NA,TEAM,NA,22,53,8,21,21,26,7,18,25,10,7,5,17,10,73,Houston Christian,Northwestern State,TRUE,FALSE,2024-02-24,H
