player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4897352,T. Moore,25,2,4,0,0,1,2,0,2,2,1,0,0,0,0,5,Houston Christian,Oklahoma State,FALSE,TRUE,2023-11-24,A
4707481,M. Imariagbe,16,1,2,0,0,2,2,1,3,4,0,0,2,1,3,4,Houston Christian,Oklahoma State,FALSE,TRUE,2023-11-24,A
4897576,B. Maring,23,2,9,0,0,2,3,2,8,10,3,1,0,3,2,6,Houston Christian,Oklahoma State,FALSE,TRUE,2023-11-24,A
5107306,Pi. Bazil,28,3,12,0,2,0,2,0,2,2,0,2,0,3,1,6,Houston Christian,Oklahoma State,FALSE,TRUE,2023-11-24,A
4897953,M. Greene,30,7,12,1,2,1,2,1,1,2,2,0,0,2,2,16,Houston Christian,Oklahoma State,FALSE,TRUE,2023-11-24,A
5176564,Po. Bazil,14,0,0,0,0,0,0,0,3,3,0,1,2,2,1,0,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
5107309,C. Achara,16,2,4,0,0,3,4,1,3,4,0,0,0,1,0,7,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
5176563,J. Alvarez,27,5,14,1,5,4,6,1,2,3,0,2,1,2,1,15,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
5106783,D. Capriotti,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
4897354,J. Arnold,18,1,6,1,1,1,2,0,0,0,1,2,0,0,1,4,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
NA,TEAM,NA,24,64,3,10,14,23,10,28,38,7,8,5,14,11,65,Houston Christian,Oklahoma State,FALSE,FALSE,2023-11-24,A
