player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4707481,M. Imariagbe,27,2,7,0,0,1,2,2,4,6,0,1,1,2,2,5,Houston Christian,SE Louisiana,TRUE,TRUE,2024-01-29,H
5176563,J. Alvarez,22,2,6,0,0,2,4,1,6,7,3,0,0,3,1,6,Houston Christian,SE Louisiana,TRUE,TRUE,2024-01-29,H
4897576,B. Maring,33,6,8,0,1,2,3,1,1,2,3,1,1,2,1,14,Houston Christian,SE Louisiana,TRUE,TRUE,2024-01-29,H
5106783,D. Capriotti,35,4,11,3,9,1,2,0,0,0,2,1,0,2,1,12,Houston Christian,SE Louisiana,TRUE,TRUE,2024-01-29,H
4897953,M. Greene,34,3,9,1,4,4,4,1,3,4,3,1,0,1,1,11,Houston Christian,SE Louisiana,TRUE,TRUE,2024-01-29,H
5176564,Po. Bazil,9,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,Houston Christian,SE Louisiana,TRUE,FALSE,2024-01-29,H
5107309,C. Achara,6,0,0,0,0,2,2,0,1,1,0,0,0,2,1,2,Houston Christian,SE Louisiana,TRUE,FALSE,2024-01-29,H
4897352,T. Moore,11,0,3,0,3,0,0,0,0,0,1,0,0,1,1,0,Houston Christian,SE Louisiana,TRUE,FALSE,2024-01-29,H
5107306,Pi. Bazil,23,2,6,0,2,1,4,0,1,1,0,1,0,1,2,5,Houston Christian,SE Louisiana,TRUE,FALSE,2024-01-29,H
NA,TEAM,NA,20,51,5,20,13,21,8,18,26,12,5,2,15,10,58,Houston Christian,SE Louisiana,TRUE,FALSE,2024-01-29,H
