player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4897352,T. Moore,19,2,4,1,2,3,3,0,2,2,1,0,0,2,0,8,Houston Christian,Florida International,TRUE,TRUE,2023-11-15,H
4707481,M. Imariagbe,34,6,7,0,0,2,6,1,4,5,1,0,4,6,1,14,Houston Christian,Florida International,TRUE,TRUE,2023-11-15,H
4897576,B. Maring,32,3,4,0,0,0,0,2,9,11,4,1,0,3,2,6,Houston Christian,Florida International,TRUE,TRUE,2023-11-15,H
5107306,Pi. Bazil,38,6,15,0,5,4,8,3,1,4,3,2,0,7,2,16,Houston Christian,Florida International,TRUE,TRUE,2023-11-15,H
4897953,M. Greene,30,4,6,1,1,0,0,0,3,3,2,0,0,2,3,9,Houston Christian,Florida International,TRUE,TRUE,2023-11-15,H
5176564,Po. Bazil,3,0,1,0,1,0,0,1,0,1,0,0,0,1,2,0,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
5107309,C. Achara,11,2,2,0,0,2,2,1,1,2,0,0,0,1,3,6,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
5176565,B. Carpenter,25,4,8,0,2,7,9,2,1,3,3,0,1,2,3,15,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
5106783,D. Capriotti,6,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
4897354,J. Arnold,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
NA,TEAM,NA,27,50,2,14,18,30,12,21,33,14,3,5,26,17,74,Houston Christian,Florida International,TRUE,FALSE,2023-11-15,H
