player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4707481,M. Imariagbe,27,6,10,0,0,4,7,2,8,10,3,0,1,1,3,16,Houston Christian,New Orleans,TRUE,TRUE,2024-01-22,H
5176563,J. Alvarez,29,5,12,0,0,5,8,2,2,4,3,1,0,4,2,15,Houston Christian,New Orleans,TRUE,TRUE,2024-01-22,H
4897576,B. Maring,24,4,5,0,0,4,4,2,4,6,3,1,0,2,3,12,Houston Christian,New Orleans,TRUE,TRUE,2024-01-22,H
5106783,D. Capriotti,36,1,4,1,3,2,2,0,7,7,0,0,0,0,2,5,Houston Christian,New Orleans,TRUE,TRUE,2024-01-22,H
4897953,M. Greene,20,6,8,3,3,3,4,0,1,1,2,0,0,1,4,18,Houston Christian,New Orleans,TRUE,TRUE,2024-01-22,H
5176564,Po. Bazil,22,2,2,0,0,0,0,2,4,6,0,0,4,0,2,4,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
5107310,N. Hudson,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
5107309,C. Achara,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
4897352,T. Moore,8,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
5107306,Pi. Bazil,27,7,12,3,5,1,2,0,2,2,2,0,0,5,1,18,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
NA,TEAM,NA,31,53,7,11,19,27,8,33,41,14,2,5,14,20,88,Houston Christian,New Orleans,TRUE,FALSE,2024-01-22,H
