player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4707481,M. Imariagbe,34,5,9,0,0,1,4,3,8,11,0,0,0,1,4,11,Houston Christian,Incarnate Word,FALSE,TRUE,2024-01-27,A
5176563,J. Alvarez,39,6,15,0,1,6,10,0,5,5,5,2,0,2,2,18,Houston Christian,Incarnate Word,FALSE,TRUE,2024-01-27,A
4897576,B. Maring,30,8,15,0,0,0,1,3,5,8,1,0,1,1,3,16,Houston Christian,Incarnate Word,FALSE,TRUE,2024-01-27,A
5106783,D. Capriotti,37,4,6,3,5,0,0,2,0,2,1,0,0,2,1,11,Houston Christian,Incarnate Word,FALSE,TRUE,2024-01-27,A
4897953,M. Greene,34,6,16,4,7,1,2,1,4,5,2,1,0,1,2,17,Houston Christian,Incarnate Word,FALSE,TRUE,2024-01-27,A
5176564,Po. Bazil,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Houston Christian,Incarnate Word,FALSE,FALSE,2024-01-27,A
5107310,N. Hudson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Houston Christian,Incarnate Word,FALSE,FALSE,2024-01-27,A
5107309,C. Achara,10,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,Houston Christian,Incarnate Word,FALSE,FALSE,2024-01-27,A
5107306,Pi. Bazil,9,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2,Houston Christian,Incarnate Word,FALSE,FALSE,2024-01-27,A
NA,TEAM,NA,30,67,7,14,8,17,13,27,40,9,3,1,7,14,75,Houston Christian,Incarnate Word,FALSE,FALSE,2024-01-27,A
