player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
5109033,A. Mukeba Jr.,30,4,9,0,0,2,2,3,2,5,1,1,1,4,1,10,Kansas City,NA,FALSE,TRUE,2022-12-06,401483295,NA
5109029,Pro. Idiaru,30,0,1,0,0,0,0,2,3,5,0,0,0,0,3,0,Kansas City,NA,FALSE,TRUE,2022-12-06,401483295,NA
4897232,S. Allen,35,3,10,1,2,2,5,1,2,3,2,0,0,4,3,9,Kansas City,NA,FALSE,TRUE,2022-12-06,401483295,NA
4711705,B. Diallo,21,3,5,0,0,0,0,1,0,1,2,3,0,1,1,6,Kansas City,NA,FALSE,TRUE,2022-12-06,401483295,NA
4397284,R. Mitchell,35,7,17,2,8,2,2,1,1,2,0,3,0,3,3,18,Kansas City,NA,FALSE,TRUE,2022-12-06,401483295,NA
5109028,Pre. Idiaru,6,1,2,1,2,1,2,1,1,2,0,0,0,0,2,4,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
4701990,J. Ngandu,15,1,1,0,0,1,2,1,2,3,0,0,0,0,1,3,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
5109035,J. Sullivan,5,0,3,0,2,3,4,1,0,1,0,0,0,0,1,3,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
5109034,T. Andrews,6,0,2,0,1,0,0,1,0,1,0,0,0,1,1,0,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
5109027,E. Dimou,14,0,2,0,2,0,0,0,1,1,1,1,0,2,1,0,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
4593971,S. Martin,3,0,1,0,1,0,0,1,1,2,0,0,0,1,0,0,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
NA,TEAM,NA,19,53,4,18,11,17,13,18,31,6,8,1,16,17,53,Kansas City,NA,FALSE,FALSE,2022-12-06,401483295,NA
