player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
5109033,A. Mukeba Jr.,37,3,11,1,4,0,0,1,2,3,1,1,0,4,2,7,Kansas City,NA,FALSE,TRUE,2022-11-09,401485461,NA
5109028,Pre. Idiaru,18,1,6,0,4,0,0,2,3,5,0,0,1,1,0,2,Kansas City,NA,FALSE,TRUE,2022-11-09,401485461,NA
4701990,J. Ngandu,7,1,1,0,0,2,3,0,0,0,0,0,0,0,4,4,Kansas City,NA,FALSE,TRUE,2022-11-09,401485461,NA
4897232,S. Allen,38,6,15,2,4,5,8,1,5,6,4,3,0,1,3,19,Kansas City,NA,FALSE,TRUE,2022-11-09,401485461,NA
4397284,R. Mitchell,38,4,12,1,6,6,7,1,5,6,5,0,0,3,1,15,Kansas City,NA,FALSE,TRUE,2022-11-09,401485461,NA
5109029,Pro. Idiaru,31,4,8,0,2,1,2,3,7,10,1,1,0,4,5,9,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
5109035,J. Sullivan,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
5109034,T. Andrews,22,0,4,0,4,5,5,1,2,3,1,1,0,1,3,5,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
4711705,B. Diallo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
4593971,S. Martin,5,0,0,0,0,2,2,0,1,1,0,0,0,0,2,2,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
NA,TEAM,NA,19,58,4,25,21,27,11,27,38,12,6,1,16,20,63,Kansas City,NA,FALSE,FALSE,2022-11-09,401485461,NA
