player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
5109033,A. Mukeba Jr.,22,6,13,0,1,2,2,7,4,11,8,3,2,1,1,14,Kansas City,NA,TRUE,TRUE,2022-11-14,401489583,NA
4701990,J. Ngandu,16,6,8,0,0,2,2,4,3,7,1,0,1,2,1,14,Kansas City,NA,TRUE,TRUE,2022-11-14,401489583,NA
4897232,S. Allen,15,4,6,0,0,0,0,1,2,3,3,4,0,2,4,8,Kansas City,NA,TRUE,TRUE,2022-11-14,401489583,NA
4593765,A. Kopp,14,4,6,3,3,2,2,1,2,3,2,2,0,1,1,13,Kansas City,NA,TRUE,TRUE,2022-11-14,401489583,NA
4397284,R. Mitchell,20,7,11,3,5,1,2,2,2,4,2,0,0,2,0,18,Kansas City,NA,TRUE,TRUE,2022-11-14,401489583,NA
5109029,Pro. Idiaru,15,2,3,0,1,0,0,1,5,6,0,0,1,1,2,4,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
5109028,Pre. Idiaru,14,1,5,0,1,0,0,1,5,6,0,1,0,0,0,2,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
5109035,J. Sullivan,11,2,6,1,2,0,0,0,2,2,1,0,0,2,1,5,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
5109034,T. Andrews,21,5,11,4,9,2,2,2,3,5,0,0,0,3,1,16,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
5109027,E. Dimou,24,4,5,4,5,1,2,0,1,1,3,4,0,2,1,13,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
4711705,B. Diallo,12,1,2,1,2,0,0,1,1,2,3,1,0,1,0,3,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
4593971,S. Martin,16,1,3,1,3,0,0,1,3,4,3,1,0,1,0,3,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
NA,TEAM,NA,43,79,17,32,10,12,21,35,56,26,16,4,18,12,113,Kansas City,NA,TRUE,FALSE,2022-11-14,401489583,NA
