player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
4701990,J. Ngandu,37,2,6,0,0,0,0,1,4,5,2,1,0,0,3,4,Kansas City,NA,TRUE,TRUE,2023-03-03,401514362,NA
5109035,J. Sullivan,33,2,9,2,7,3,6,1,2,3,2,0,1,1,2,9,Kansas City,NA,TRUE,TRUE,2023-03-03,401514362,NA
5109034,T. Andrews,33,8,16,3,7,1,2,3,8,11,1,0,0,3,1,20,Kansas City,NA,TRUE,TRUE,2023-03-03,401514362,NA
4711705,B. Diallo,32,3,7,1,3,1,2,1,4,5,4,1,0,3,4,8,Kansas City,NA,TRUE,TRUE,2023-03-03,401514362,NA
4397284,R. Mitchell,37,4,16,3,10,2,2,0,2,2,2,1,0,1,5,13,Kansas City,NA,TRUE,TRUE,2023-03-03,401514362,NA
5109029,Pro. Idiaru,15,1,3,0,0,2,3,2,2,4,0,0,1,0,2,4,Kansas City,NA,TRUE,FALSE,2023-03-03,401514362,NA
5109027,E. Dimou,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas City,NA,TRUE,FALSE,2023-03-03,401514362,NA
4593971,S. Martin,11,1,3,1,2,0,0,0,0,0,1,0,0,0,0,3,Kansas City,NA,TRUE,FALSE,2023-03-03,401514362,NA
NA,TEAM,NA,21,60,10,29,9,15,12,24,36,12,3,2,10,17,61,Kansas City,NA,TRUE,FALSE,2023-03-03,401514362,NA
