player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4703977,M. Ebonkoli,14,0,3,0,0,0,0,1,2,3,0,0,0,1,3,0,Kansas City,NA,TRUE,TRUE,2025-03-09,NA
5177744,C. Faas,31,5,11,4,9,0,0,1,3,4,1,0,1,0,0,14,Kansas City,NA,TRUE,TRUE,2025-03-09,NA
5177743,J. Brown,31,3,11,1,4,0,0,2,4,6,2,0,0,4,4,7,Kansas City,NA,TRUE,TRUE,2025-03-09,NA
5177741,J. Petty,23,4,10,1,4,4,4,1,3,4,0,0,0,0,2,13,Kansas City,NA,TRUE,TRUE,2025-03-09,NA
4711705,B. Diallo,24,2,5,1,3,2,2,1,3,4,2,1,0,2,1,7,Kansas City,NA,TRUE,TRUE,2025-03-09,NA
5192845,Y. Ramirez-Montero,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
5109033,A. Mukeba Jr.,18,1,3,0,0,0,1,3,2,5,1,2,0,0,3,2,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
5109029,Pro. Idiaru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
4701990,J. Ngandu,8,0,1,0,0,1,2,2,0,2,0,0,0,0,1,1,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
5109034,T. Andrews,15,1,2,1,2,0,1,1,1,2,1,0,0,1,1,3,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
4593063,K. Courseault,32,4,15,0,6,5,9,1,6,7,1,1,1,2,3,13,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
NA,TEAM,NA,20,62,8,29,12,19,14,28,42,8,5,2,10,18,60,Kansas City,NA,TRUE,FALSE,2025-03-09,NA
