player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,34,8,17,0,6,0,0,1,4,5,2,0,0,1,3,16,Le Moyne,Long Island University,TRUE,TRUE,2024-01-27,H
5108058,K. Cleary,38,14,25,6,10,9,9,3,4,7,1,1,2,0,1,43,Le Moyne,Long Island University,TRUE,TRUE,2024-01-27,H
4702786,D. Jones Jr.,37,5,9,2,6,0,0,1,1,2,0,0,1,2,1,12,Le Moyne,Long Island University,TRUE,TRUE,2024-01-27,H
4432965,M. DePersia,16,0,0,0,0,0,2,1,2,3,1,1,0,0,3,0,Le Moyne,Long Island University,TRUE,TRUE,2024-01-27,H
4397701,N. McClure,34,0,2,0,2,2,3,2,4,6,3,3,0,1,3,2,Le Moyne,Long Island University,TRUE,TRUE,2024-01-27,H
5177253,N. Fouts,6,2,2,1,1,2,2,0,0,0,0,0,0,1,1,7,Le Moyne,Long Island University,TRUE,FALSE,2024-01-27,H
5177247,AJ Dancler,5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,Le Moyne,Long Island University,TRUE,FALSE,2024-01-27,H
5177246,I. Salter,30,2,5,2,5,1,2,1,4,5,7,1,0,1,0,7,Le Moyne,Long Island University,TRUE,FALSE,2024-01-27,H
NA,TEAM,NA,31,61,11,30,14,18,9,20,29,14,6,3,7,12,87,Le Moyne,Long Island University,TRUE,FALSE,2024-01-27,H
