player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,38,9,22,3,6,2,2,0,8,8,2,0,0,4,2,23,Le Moyne,Merrimack,FALSE,TRUE,2024-03-09,A
5108058,K. Cleary,33,4,9,2,6,0,0,1,5,6,0,1,0,2,4,10,Le Moyne,Merrimack,FALSE,TRUE,2024-03-09,A
4702786,D. Jones Jr.,35,3,6,1,2,4,4,1,5,6,2,1,0,1,2,11,Le Moyne,Merrimack,FALSE,TRUE,2024-03-09,A
4432965,M. DePersia,35,1,3,0,0,2,2,2,0,2,2,1,0,4,3,4,Le Moyne,Merrimack,FALSE,TRUE,2024-03-09,A
4397701,N. McClure,27,0,3,0,3,2,2,2,2,4,2,3,0,0,3,2,Le Moyne,Merrimack,FALSE,TRUE,2024-03-09,A
5177253,N. Fouts,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
5177252,O. Owens,11,0,4,0,1,0,0,1,2,3,1,0,0,0,1,0,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
5177250,T. Mosquera,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
5177247,AJ Dancler,4,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
5177246,I. Salter,13,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
NA,TEAM,NA,17,49,6,20,11,12,9,24,33,10,7,0,16,16,51,Le Moyne,Merrimack,FALSE,FALSE,2024-03-09,A
