player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,35,6,11,3,6,9,9,2,3,5,2,1,1,5,4,24,Le Moyne,Cal State Northridge,FALSE,TRUE,2023-11-21,A
5177246,I. Salter,37,3,10,3,8,0,0,0,2,2,2,1,0,1,0,9,Le Moyne,Cal State Northridge,FALSE,TRUE,2023-11-21,A
5108058,K. Cleary,18,4,10,2,6,4,4,0,5,5,0,1,0,3,4,14,Le Moyne,Cal State Northridge,FALSE,TRUE,2023-11-21,A
4432965,M. DePersia,38,1,5,0,2,6,6,0,4,4,9,3,0,0,2,8,Le Moyne,Cal State Northridge,FALSE,TRUE,2023-11-21,A
4397701,N. McClure,32,3,7,2,4,4,5,2,2,4,2,3,0,0,1,12,Le Moyne,Cal State Northridge,FALSE,TRUE,2023-11-21,A
5177252,O. Owens,13,1,1,1,1,1,2,1,3,4,0,1,4,1,1,4,Le Moyne,Cal State Northridge,FALSE,FALSE,2023-11-21,A
5177250,T. Mosquera,15,0,4,0,4,0,0,1,0,1,2,1,0,2,1,0,Le Moyne,Cal State Northridge,FALSE,FALSE,2023-11-21,A
4702786,D. Jones Jr.,12,1,2,0,1,7,8,0,2,2,1,0,0,0,0,9,Le Moyne,Cal State Northridge,FALSE,FALSE,2023-11-21,A
NA,TEAM,NA,19,50,11,32,31,34,9,23,32,18,11,5,14,13,80,Le Moyne,Cal State Northridge,FALSE,FALSE,2023-11-21,A
