player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,28,5,10,1,2,3,3,1,2,3,4,0,1,1,2,14,Le Moyne,Wagner,TRUE,TRUE,2024-02-29,H
5108058,K. Cleary,30,4,10,1,3,3,3,0,9,9,3,0,1,0,4,12,Le Moyne,Wagner,TRUE,TRUE,2024-02-29,H
4702786,D. Jones Jr.,33,8,14,5,9,0,0,0,4,4,2,1,0,0,2,21,Le Moyne,Wagner,TRUE,TRUE,2024-02-29,H
4432965,M. DePersia,29,2,6,1,3,1,2,2,7,9,0,0,1,0,5,6,Le Moyne,Wagner,TRUE,TRUE,2024-02-29,H
4397701,N. McClure,31,2,8,0,4,0,0,0,2,2,1,4,0,2,0,4,Le Moyne,Wagner,TRUE,TRUE,2024-02-29,H
5177253,N. Fouts,12,4,5,1,2,0,1,0,1,1,3,0,1,1,0,9,Le Moyne,Wagner,TRUE,FALSE,2024-02-29,H
5177252,O. Owens,10,0,2,0,2,0,0,1,3,4,1,0,0,1,0,0,Le Moyne,Wagner,TRUE,FALSE,2024-02-29,H
5177247,AJ Dancler,17,1,3,0,2,2,3,0,4,4,1,0,0,2,2,4,Le Moyne,Wagner,TRUE,FALSE,2024-02-29,H
5177246,I. Salter,10,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,Le Moyne,Wagner,TRUE,FALSE,2024-02-29,H
NA,TEAM,NA,26,59,9,28,9,12,5,33,38,16,5,4,7,15,70,Le Moyne,Wagner,TRUE,FALSE,2024-02-29,H
