player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,location
4433091,L. Sutherland,18,2,7,1,1,2,3,1,4,5,0,0,1,1,1,7,Le Moyne,Merrimack,FALSE,TRUE,2024-02-10,A
5108058,K. Cleary,21,2,5,0,1,2,2,2,7,9,1,1,0,4,2,6,Le Moyne,Merrimack,FALSE,TRUE,2024-02-10,A
4702786,D. Jones Jr.,37,3,9,1,5,0,0,0,4,4,4,1,1,1,2,7,Le Moyne,Merrimack,FALSE,TRUE,2024-02-10,A
4432965,M. DePersia,23,0,4,0,1,0,0,0,2,2,0,2,2,3,2,0,Le Moyne,Merrimack,FALSE,TRUE,2024-02-10,A
4397701,N. McClure,23,0,2,0,2,0,0,3,0,3,1,0,0,2,1,0,Le Moyne,Merrimack,FALSE,TRUE,2024-02-10,A
5177253,N. Fouts,17,2,6,0,1,0,0,0,5,5,1,1,2,1,1,4,Le Moyne,Merrimack,FALSE,FALSE,2024-02-10,A
5177250,T. Mosquera,17,2,3,1,1,2,2,0,1,1,2,2,0,1,2,7,Le Moyne,Merrimack,FALSE,FALSE,2024-02-10,A
5177247,AJ Dancler,25,6,11,2,3,0,0,1,1,2,1,0,0,2,3,14,Le Moyne,Merrimack,FALSE,FALSE,2024-02-10,A
5177246,I. Salter,19,2,3,1,2,0,0,0,1,1,1,0,0,5,2,5,Le Moyne,Merrimack,FALSE,FALSE,2024-02-10,A
NA,TEAM,NA,19,50,6,17,6,7,8,26,34,11,7,6,23,16,50,Le Moyne,Merrimack,FALSE,FALSE,2024-02-10,A
