player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
4897300,I. Mushila,28,7,11,0,1,0,0,4,3,7,3,0,0,1,4,14,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-23,401485449,NA
4703701,D. Keys,26,2,6,0,0,4,6,5,0,5,1,1,1,0,1,8,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-23,401485449,NA
4897301,T. Murdix,32,7,19,0,2,7,8,3,3,6,6,2,0,1,4,21,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-23,401485449,NA
4897296,T. Tennyson,35,7,15,5,8,3,4,0,2,2,1,0,0,3,1,22,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-23,401485449,NA
4592869,J. Jackson,32,0,3,0,1,4,4,0,2,2,0,1,0,2,5,4,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-23,401485449,NA
4897302,O. Dease,23,4,5,0,1,1,2,2,2,4,1,0,1,1,1,9,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-23,401485449,NA
5107290,J. Grandberry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-23,401485449,NA
4897299,J. Roberts,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-23,401485449,NA
4709017,R. Williams,20,0,4,0,3,0,0,0,0,0,2,2,0,1,1,0,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-23,401485449,NA
NA,TEAM,NA,28,64,5,16,19,24,17,13,30,14,6,2,10,18,80,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-23,401485449,NA
