player_id,player,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,team,opponent,home,starter,date,game_id,location
4897300,I. Mushila,29,4,6,0,0,4,6,3,8,11,0,3,0,4,2,12,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-11,401485435,NA
4897301,T. Murdix,29,1,5,0,0,0,0,0,3,3,4,3,0,3,4,2,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-11,401485435,NA
4897296,T. Tennyson,34,8,14,2,6,0,0,0,3,3,6,1,0,2,2,18,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-11,401485435,NA
4703703,S. Fryer,32,1,3,0,2,2,2,1,5,6,1,0,3,2,1,4,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-11,401485435,NA
4592869,J. Jackson,29,6,10,0,0,2,3,1,4,5,3,4,0,3,2,14,Texas A&M-Corpus Christi,NA,TRUE,TRUE,2023-02-11,401485435,NA
4897302,O. Dease,10,1,3,1,1,0,0,2,1,3,1,0,0,1,1,3,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-11,401485435,NA
4703701,D. Keys,11,1,2,0,0,0,0,1,1,2,1,0,0,0,1,2,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-11,401485435,NA
4709017,R. Williams,26,1,7,1,7,3,3,0,1,1,2,1,0,1,1,6,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-11,401485435,NA
NA,TEAM,NA,23,50,4,16,11,14,9,27,36,18,12,3,17,14,61,Texas A&M-Corpus Christi,NA,TRUE,FALSE,2023-02-11,401485435,NA
